oid_migrash,ms_gush,ms_migrash,k_yeud_rashi,t_yeud_rashi,Shape_Length,Shape_Area,Shape,ms_ezor,ms_ezor_shetach
11893,6975,115,1008,תחבורה,36.968191,23.743791,Polygon,,
11894,7466,71,1004,מלונאות/תיירות,37.276639,85.339003,Polygon,,
11895,7466,70,1004,מלונאות/תיירות,34.953209,71.671138,Polygon,,
11896,7466,39,1001,מגורים,61.042945,231.794642,Polygon,,
11897,7001,26,1001,מגורים,49.450735,147.299111,Polygon,,
11898,7001,34,1001,מגורים,62.061267,241.275385,Polygon,,
11899,7499,118,1008,תחבורה,315.801574,914.124131,Polygon,,
11900,7068,251,1008,תחבורה,42.127691,37.992378,Polygon,,
11901,6632,504,1001,מגורים,222.025191,2348.003959,Polygon,,
11902,6217,2113,1005,מבנים ומוסדות ציבור,150.340984,1036.737109,Polygon,,
11903,9012,2021,1001,מגורים,49.26676,134.658855,Polygon,,
11904,9012,13,1001,מגורים,52.72642,163.339194,Polygon,,
11905,9012,19,1001,מגורים,48.438835,142.899216,Polygon,,
11906,7097,112,1008,תחבורה,463.417521,2768.60586,Polygon,,
11907,9012,68,1006,שטחים פתוחים,41.490471,103.866177,Polygon,,
11908,9012,7,1001,מגורים,59.281044,212.07856,Polygon,,
11909,8991,2024,1008,תחבורה,48.876354,109.268398,Polygon,,
11910,9008,17,1001,מגורים,43.086235,104.635898,Polygon,,
11911,9012,28,1001,מגורים,49.637639,133.123575,Polygon,,
11912,9012,69,1008,תחבורה,26.644296,23.2452,Polygon,,
11913,9012,85,1008,תחבורה,52.033585,56.162815,Polygon,,
11914,9012,79,1008,תחבורה,69.819957,148.740148,Polygon,,
11915,7065,103,1001,מגורים,64.994453,209.529924,Polygon,,
11916,7065,159,1008,תחבורה,78.565328,154.367869,Polygon,,
11917,6985,92,1001,מגורים,25.794166,18.594647,Polygon,,
11918,6986,136,1001,מגורים,89.17671,492.221714,Polygon,,
11919,6108,513,1008,תחבורה,38.751072,79.769915,Polygon,,
11920,6108,406,1008,תחבורה,62.15049,163.163269,Polygon,,
11921,6108,419,1008,תחבורה,78.16612,194.32779,Polygon,,
11922,6108,608,1008,תחבורה,65.134864,222.185114,Polygon,,
11923,7460,11,1009,שטח לתכנון בעתיד,101.448467,630.755763,Polygon,,
11924,6108,521,1001,מגורים,133.949331,1119.325999,Polygon,,
11925,6108,595,1008,תחבורה,95.388737,101.5413,Polygon,,
11926,7028,135,1001,מגורים,89.541425,380.612616,Polygon,,
11927,7028,114,1001,מגורים,63.092845,249.043904,Polygon,,
11928,7028,134,1001,מגורים,142.95343,984.477949,Polygon,,
11929,7028,94,1001,מגורים,52.929569,169.327493,Polygon,,
11930,7028,131,1001,מגורים,59.923318,210.583605,Polygon,,
11931,8999,2002,1001,מגורים,100.841398,577.24441,Polygon,,
11932,8991,2016,1001,מגורים,63.488697,160.899477,Polygon,,
11933,7031,2009,1001,מגורים,32.089157,61.40851,Polygon,,
11934,7031,55,1001,מגורים,92.666153,244.89182,Polygon,,
11935,7031,47,1001,מגורים,99.932354,555.597707,Polygon,,
11936,7031,10,1001,מגורים,148.218486,1258.92503,Polygon,,
11937,6941,2056,1001,מגורים,101.810059,636.218645,Polygon,,
11938,6215,149,1008,תחבורה,4.548815,1.182486,Polygon,,
11939,6643,2002,1008,תחבורה,204.637529,1569.201869,Polygon,,
11940,6628,2218,1006,שטחים פתוחים,181.420621,1759.312375,Polygon,,
11941,6645,2254,1008,תחבורה,45.513554,107.844152,Polygon,,
11942,8942,46,1002,מסחר,43.036776,74.140574,Polygon,,
11943,7018,25,1010,אחר,199.081756,2274.164386,Polygon,,
11944,6883,14,1008,תחבורה,383.349797,2869.26637,Polygon,,
11945,7065,40,1006,שטחים פתוחים,71.762695,181.941514,Polygon,,
11946,6637,525,1001,מגורים,94.011468,521.328037,Polygon,,
