זיהוי ממג מגרש *,מספר גוש *,מספר מגרש *,קוד ייעוד ראשי,תיאור ייעוד ראשי,שטח רשום,שטח גרפי,Shape_Length,Shape_Area,צורה *
39691,7069,2021,1001,מגורים,74.25,74.84,50.851335,74.844354,Polygon
39692,7078,101,1001,מגורים,336,326.23,71.253912,326.232146,Polygon
39693,7078,102,1001,מגורים,266,263.35,63.607333,263.347013,Polygon
39694,7078,192,1001,מגורים,295,298.02,74.762205,298.016251,Polygon
39695,7078,109,1002,מסחר,302,297.08,75.746316,297.08427,Polygon
39696,6636,2160,1001,מגורים,720.34,711.69,107.052959,711.694353,Polygon
39697,6929,20,1001,מגורים,67,66.58,32.740604,66.58057,Polygon
39698,6929,2007,1008,תחבורה,200.95,201.63,97.281557,201.629111,Polygon
39699,6984,31,1001,מגורים,637,662.71,104.561372,662.711029,Polygon
39700,6984,30,1001,מגורים,564,597.17,98.688681,597.174355,Polygon
39701,6984,50,1001,מגורים,500,496.49,87.529478,496.489253,Polygon
39702,7442,9,1002,מסחר,141,135.24,100.889402,135.240485,Polygon
39703,6925,108,1009,שטח לתכנון בעתיד,130.05,130.04,66.156556,130.039356,Polygon
39704,6930,75,1002,מסחר,93,92.66,39.451892,92.660244,Polygon
39705,9010,2396,1006,שטחים פתוחים,41.84,41.84,25.733014,41.841106,Polygon
39706,7467,59,1001,מגורים,136,131.79,49.395119,131.791062,Polygon
39707,7441,1,1001,מגורים,361,323.26,77.19324,323.264195,Polygon
39708,7441,14,1001,מגורים,570,569.92,98.307542,569.919607,Polygon
39709,7438,31,1008,תחבורה,2,0.7,6.270059,0.695074,Polygon
39710,7465,14,1001,מגורים,76,72.6,39.237992,72.601213,Polygon
39711,7465,13,1001,מגורים,55,53.86,36.838192,53.862721,Polygon
39712,7466,54,1004,מלונאות/תיירות,162,161.3,51.639099,161.304272,Polygon
39713,7109,397,1008,תחבורה,8,7.6,31.112649,7.599213,Polygon
39714,6111,426,1008,תחבורה,221,250.08,218.970944,250.078518,Polygon
39715,6792,44,1001,מגורים,625,611.86,99.607918,611.855515,Polygon
39716,6792,17,1001,מגורים,633,639.23,101.992042,639.227466,Polygon
39717,6792,74,1001,מגורים,621,645.44,102.189421,645.436909,Polygon
39718,6792,78,1001,מגורים,610,612.79,99.862994,612.786518,Polygon
39719,7018,13,1001,מגורים,370,375.79,79.802874,375.785294,Polygon
39720,7018,14,1001,מגורים,390,377.85,81.913219,377.849757,Polygon
39721,7018,17,1001,מגורים,329,332.61,74.621631,332.611352,Polygon
39722,6111,2095,1008,תחבורה,52.91,57.73,36.26715,57.727212,Polygon
39723,6111,2099,1001,מגורים,732.51,770.54,110.534245,770.539206,Polygon
39724,7083,2200,1006,שטחים פתוחים,87.89,86.59,37.166201,86.58543,Polygon
39725,7018,18,1001,מגורים,395,394.45,81.867862,394.454783,Polygon
39726,6135,211,1001,מגורים,472,476.56,87.887846,476.555492,Polygon
39727,6135,413,1001,מגורים,166,164.4,52.467902,164.403647,Polygon
39728,6135,2316,1005,מבנים ומוסדות ציבור,463.71,456.22,94.672971,456.223992,Polygon
39729,6135,375,1001,מגורים,170,168.16,53.615741,168.159117,Polygon
39730,6135,386,1001,מגורים,258,254.84,64.082707,254.83704,Polygon
39731,6135,428,1001,מגורים,131,129.75,49.399845,129.747969,Polygon
39732,6135,406,1001,מגורים,194,191.6,57.181008,191.603719,Polygon
39733,6135,2140,1001,מגורים,11.26,11.2,26.594314,11.199627,Polygon
39734,6135,2420,1001,מגורים,525.07,556.82,93.893855,556.82031,Polygon
39735,6135,395,1001,מגורים,127,125.15,48.705171,125.150125,Polygon
39736,6135,264,1001,מגורים,728,724.92,108.425822,724.920722,Polygon
39737,6135,346,1001,מגורים,224,222.49,61.080777,222.486131,Polygon
39738,6930,42,1002,מסחר,184,195.01,57.779904,195.01384,Polygon
39739,6915,51,1005,מבנים ומוסדות ציבור,2418,2414.21,236.97564,2414.214614,Polygon
39740,8998,2013,1001,מגורים,289.08,289.3,68.842148,289.297054,Polygon
39741,8998,2224,1001,מגורים,328.61,328.57,75.520974,328.573641,Polygon
39742,8999,2023,1008,תחבורה,3.08,2.23,11.510566,2.226437,Polygon
39743,8999,2011,1006,שטחים פתוחים,522.71,524.7,91.462932,524.697982,Polygon
39744,7092,2043,1001,מגורים,349.02,338.13,77.514222,338.127787,Polygon
39745,7079,10,1001,מגורים,421,424.9,83.651125,424.90228,Polygon
39746,7079,2054,1008,תחבורה,910.59,908.88,205.735773,908.877679,Polygon
39747,7245,28,1009,שטח לתכנון בעתיד,565,567.4,99.275808,567.395795,Polygon
39748,7109,343,1008,תחבורה,8,7.45,30.810635,7.453838,Polygon
39749,7109,2157,1008,תחבורה,7.09,6.85,29.485872,6.84787,Polygon
39750,6972,325,1008,תחבורה,24,23.16,24.654728,23.164339,Polygon
39751,6638,476,1001,מגורים,884,859.42,119.890594,859.419449,Polygon
39752,6626,220,1001,מגורים,3235,3245,237.045788,3244.99573,Polygon
39753,7103,2039,1001,מגורים,696.87,679.41,104.685339,679.405792,Polygon
39754,6150,467,1001,מגורים,216,211.41,64.923452,211.4059,Polygon
39755,6150,465,1001,מגורים,215,215.34,64.915505,215.341325,Polygon
39756,6638,433,1008,תחבורה,378,373.22,139.468499,373.219669,Polygon
39757,6638,431,1008,תחבורה,166,173.15,93.823774,173.1506,Polygon
